FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,DISTANCE
2018-01-01,UA,19977,UA,756,14771,1477104,32457,SFO,11292,1129202,30325,DEN,0500,0456,-4.00,14.00,0510,0812,6.00,0833,0818,-15.00,0.00,,0.00,967.00
2018-01-01,UA,19977,UA,755,11618,1161802,31703,EWR,13930,1393006,30977,ORD,1330,1503,93.00,16.00,1519,1611,17.00,1503,1628,85.00,0.00,,0.00,719.00
2018-01-01,UA,19977,UA,753,10821,1082106,30852,BWI,14771,1477104,32457,SFO,0600,0559,-1.00,14.00,0613,0855,6.00,0910,0901,-9.00,0.00,,0.00,2457.00
2018-01-01,UA,19977,UA,751,11618,1161802,31703,EWR,12892,1289208,32575,LAX,1600,1557,-3.00,24.00,1621,1845,8.00,1907,1853,-14.00,0.00,,0.00,2454.00
2018-01-01,UA,19977,UA,750,12892,1289208,32575,LAX,11292,1129202,30325,DEN,1719,1744,25.00,13.00,1757,2041,4.00,2045,2045,0.00,0.00,,0.00,862.00
2018-01-01,UA,19977,UA,749,11292,1129202,30325,DEN,11618,1161802,31703,EWR,1245,1243,-2.00,15.00,1258,1808,4.00,1829,1812,-17.00,0.00,,0.00,1605.00
2018-01-01,UA,19977,UA,748,11618,1161802,31703,EWR,14771,1477104,32457,SFO,1800,1812,12.00,44.00,1856,2118,5.00,2114,2123,9.00,0.00,,0.00,2565.00
2018-01-01,UA,19977,UA,748,12266,1226603,31453,IAH,11618,1161802,31703,EWR,1210,1306,56.00,11.00,1317,1703,7.00,1637,1710,33.00,0.00,,0.00,1400.00
2018-01-01,UA,19977,UA,746,14771,1477104,32457,SFO,11618,1161802,31703,EWR,1300,1316,16.00,29.00,1345,2141,11.00,2128,2152,24.00,0.00,,0.00,2565.00
2018-01-01,UA,19977,UA,745,11292,1129202,30325,DEN,14057,1405702,34057,PDX,1908,1911,3.00,14.00,1925,2048,4.00,2059,2052,-7.00,0.00,,0.00,991.00
2018-01-01,UA,19977,UA,745,12953,1295304,31703,LGA,11292,1129202,30325,DEN,1453,1440,-13.00,15.00,1455,1643,7.00,1726,1650,-36.00,0.00,,0.00,1620.00
